匙叶草(红客妈叶、红虾蟆叶),,,,,,,,,
红榔木(大树皮、棉榔树),,,,,,,,,
马蹬草(过桥草、还阳草、小石韦),,,,,,,,,
狮子七(红景天、土三七),,,,,,,,,
杭白菊花(甘菊),,,,,,,,,
独一味(巴拉努努、吉布孜、麦朵昌巴、哈努巴拉、札江温保、哈吾巴拉、达干木、达折合巴、野秦艽、大巴、打布巴),,,,,,,,,
藏红花(撒法即,番红花,西红花),,,,,,,
月季花(四季花(《益部方物略记》)，月月红、胜春、斗雪红(《纲目》)，月贵花、月记(《南越笔记》)，月月开(《分类草药性》)，长春花(《现代实用中药》)，月月花(《贵州民间方药集》)，艳雪红、绸春花(《泉州本草》)，月季红(《陕西中药志》)，勒泡(《湖南药物志》)，月光花、铜棰子、四季春(《闽东本草》)。),,,,,,,,,
红曲(赤曲(《摘元方》)，红米(《药材资料汇编》)，福曲(《上海市饮片炮制规范》)。),,,,,,,,,
茜草(蒨草、地血、芦茹、血见愁、地苏木、活血丹、土丹参、入骨丹、红内消),,,,,,,,,
土牛膝(掇鼻草、擦鼻草、倒扣草、毛蟹目、土牛七、红骨蛇),,,,,,,,,
银杏叶(片)(飞蛾叶,鸭脚子,白果叶,银杏),,,,,,
鸡血藤(血风藤),,,,,,,,,
姜黄(宝鼎香(《纲目》)，黄姜(《生草药性备要》)。),,,,,,,,,
洋虫(九龙虫),,,,,,,,,
牛膝(百倍、牛茎、脚斯蹬、铁牛膝、杜牛膝、怀牛膝、怀夕、真夕、怀膝、土牛膝、淮牛膝、红牛膝、牛磕膝、牛克膝、牛盖膝、粘草子根、牛胳膝盖、野牛充膝、 接骨丹、牛盖膝头),,,,,,,,,
大黄(将军、黄良、火参、肤如、蜀大黄、锦纹大黄、牛舌大黄、锦纹、生军、川军),,,,,,,,,
全蝎(虿、奎、杜伯、主簿虫、虿尾虫、全虫、茯背虫、蝎子),,,,,,,,,
延胡索(延胡(《雷公炮炙论》)，玄胡索(《济生方》)，元胡索(《药品化义))。),,,,,,,,,
穿山甲(鲮鲤甲,鳢鲤甲,鲮鲤角,川山甲,鳖鲤甲,山甲,甲片,麒鳞片,鳞片,随碱片)
水蛭(蛭蝚、至掌、虮、蚑、马蜞、马蛭、蜞、马蟥、马鳖、红蛭、水琪、蚂蝗蜞、黄蜞、水麻贴、沙塔干、肉钻子、蚂蟥),,,,,,,,,
土田七(小田七、竹田七、毛七、贼佬姜、姜三七、三七姜、姜叶三七、竹叶三七、姜七、姜田节),,,,,,,,,
红花(红蓝花,刺红花,草红花),,,,,,,
丝瓜藤,,,,,,,,,
鸟不宿(鸟不踏,刺根白皮,鸟不停,老虎草,昏树),,,,,
石见穿(紫参、五凤花、小丹参、月下红、乌沙草、墨面风、大发汗、石打穿、石大川、山缝拿、紫丹花、红根参、半枝莲、田芹菜、活血草),,,,,,,,,
骨碎补(猴姜、猢狲姜、石毛姜、石庵、过山龙、石良姜、爬岩姜、石岩姜、碎补、树蜈蚣、地蜈蚣、黄爬山虎、麻鸡翅膀、搜山虎、肉碎补、猴掌姜、石连、姜、石巴掌、毛姜、申姜、岩姜),,,,,,,,,
云雾七(虎七、兰花草、秦岭翠雀花),,,,,,,,,
夏天无(一粒金丹、洞里神仙、野延胡、飞来牡丹、伏地延胡索、落水珠),,,,,,,,,
菊三七(土三七，金不换，紫三七，血当归、血三七、血七、血格答，水三七，紫蓉三七、艾叶三七、铁罗汉、乌七，菊叶三七，狗头三七),,,,,,,,,
水红花子(水荭子(《本草衍义》)，荭草实(《纲目》)，河蓼子(《山东中药》)，川蓼子、水红子(《上海常用中草药》)。),,,,,,,,,
没药(末药(《纲目》)。),,,,,,,,,
木馒头(木莲(《本草拾遗》)，水馒头(《岭外代答》)，鬼馒头(《纲目》)，蔓头萝(《生草药性备要》)，凉粉果、木铎，桔杷、文头果、文头榔、糖馒头(《中国树木分类学》)，馒头郎(《广州植物志》)，牛奶子、牛奶柚、金柚奶、假秤锤、程邦子、水子(《福建民间草药》)，鬼球(《药材资料汇编》)，木果蒲、胖朴(《浙江中药手册》)，爬墙果、爬壁果(《四川中药志》)，薜荔果、膀膀子(《湖南药物志》)，凉粉子、烹泡子(《江西草药》)。),,,,,,,,,
薯良(赭魁(《别录》)，朱砂莲、鸡血莲、血母(《贵州民间方药集》)，血三七、雄黄七、血葫芦、朱砂七、红药子、恶边(《湖南药物志》)，酱头、避血雷(《贵州草药》)，金花果(《云南中草药》)，红孩儿、孩儿血(江西《草药手册》)，血娃(《曲靖医药》)。),,,,,,,,,
小血藤(钻骨风、八仙草(《分类草药性》)，血糊藤(《经济植物手册))，钻石风(《重庆草药》)，天青地红(《陕西中草药》)，五香血藤、滑藤、爬岩香、满山香、香血藤(《昆明民间常用草药》)。),,,,,,,,,
过山龙(羊葡萄蔓(《陕西中草药》)，草葡萄(《陕甘宁青中草药选》)。),,,,,,,,,
刘寄奴(金寄奴(《日华子本草》)，乌藤菜(《通志》)，六月雪、九里光(《药材资料汇编》)，白花尾、炭包包、千粒米、斑枣子、细白花草、九牛草(《湖南药物志》)，苦连婆(《闽东本草》)。),,,,,,,,,
益母草花(茺蔚花),,,,,,,,,
野杜仲(四棱子、金丝杜仲(《浙江天目山药植志》)，黑杜仲(《中国高等植物图鉴》)。),,,,,,,,,
红木香(紫金皮、金谷香、紧骨香、木腊(汪连仕《采药书》)，内风消(《植物名实图考》)，土木香(《福建民间草药》)，内红消(《江西中药》)，浙江紫荆皮(《药材学》)。),,,,,,,,,
八月札(八月瓜、八月炸、野毛蛋),,,,,,,,,
五灵脂(药本(侯宁极《药谱》)，寒号虫粪(《开宝本草》)，寒雀粪(《中药志》)。),,,,,,,,,
血藤(大血藤(《草木便方》)，活血藤(《天宝本草》)，黄皮血藤(《四川中药志》)，紫金血藤(《重庆草药》)，气藤(《贵州草药》)，香石藤、铁骨散、小血藤(《云南中草药选》)。),,,,,,,,,
狗骨(龙沙，卑相，卑监，狗骨，色道麻，结力根，麻黄草，草麻黄，中麻黄，木贼廓黄，山麻黄，川麻黄，田麻黄，华麻黄，木麻黄，西麻黄，朱芯麻),,,,,,,,,
飞天蜈蚣(蜈蚣草、神仙对坐草、石上蜈蚣、落地蜈蚣、百足草(《陆川本草》)，铁斑鸠、巴岩姜(《贵州民间药物》)。),,,,,,,,,
