表虚证,桂枝汤，玉屏风散，牡蛎散
表实证,麻黄汤
里实证,调胃承气汤
表寒症,麻黄汤，桂枝汤
里寒证,乌头汤，枳实薤白桂枝汤，当归四逆汤，乌头赤石脂汤，天台乌药散，吴茱萸汤，良附丸
里热证,白虎汤
虚寒证,温经汤
虚热证,四物汤，青蒿鳖甲汤，大补阴丸，一阴煎，补中益气汤，当归补血汤
虚实夹杂证,甘草泻心汤
表寒里热证,麻杏石甘汤
表寒肺热证,麻黄杏仁甘草石膏汤，定喘汤，大青龙汤，除热清肺汤
表热里寒证,小建中汤，理中汤，香砂六君子汤，香砂养胃丸
上热下寒证,黄连汤，干姜黄芩黄连人参汤，白通汤
正虚瘀结证,八珍汤，化积丸
余热未清证,清络饮
余毒未清证,仙方活命饮，银花甘草汤
正虚邪恋证,吴氏三甲散
邪留阴分证,青蒿鳖甲汤
邪在气营证,清瘟败毒饮
邪在营血证,犀地清络饮
邪壅经络证,羌活胜湿汤
邪犯胸肺证,柴枳半夏汤
外邪犯胃证,藿香正气散
邪犯肺胃证,清解透表汤
邪陷心包证,安宫牛黄丸
风邪袭表证,清瘟败毒饮
风邪袭表证,银翘散，葱豉桔梗汤
风邪犯肺证,三拗汤，止嗽散，桑菊饮，桑杏汤
风寒外袭证,桂枝汤
风寒感冒证,桂枝汤，姜丝萝卜汤，葱豉汤，香菜葱白汤，姜糖饮，苍耳鸡蛋
风寒束表证,荆防达表汤，荆防败毒散
风寒痹阻证,防风汤
风寒犯肺证,三拗汤，止嗽散
风寒闭肺证,华盖散
风重于热证,羌活胜风汤
热重于风证,泻肺饮
风热俱盛证,防风通圣散
风热感冒证,银翘散，桑菊薄荷饮，薄荷粥，贝母沙参蒸雪梨
风热犯表证,银翘散
风热犯卫证,桑菊饮
风热蕴肤证,消风散
风热痹阻证,防风汤，独活寄生汤，乌头汤，麻附子细辛汤，当归四逆汤，薏苡仁汤，麻黄杏仁薏苡甘草汤，二妙散，三妙丸，宣痹汤，二陈汤，桃红四物汤，肾气丸，右归丸，六味地黄丸，右归丸，知柏地黄丸，四物汤，当归补血汤
风热上犯证,驱风散
风热伤络证,连翘败毒散
风热闭肺证,银翘散，麻杏石甘汤
风热化燥证,凉血消风散，消风散，当归饮子
风热痰凝证,牛蒡解肌汤
风热痰毒证,牛蒡解肌汤，银翘散
风湿蕴肤证,消风散
风湿热痹证,薏苡仁汤，麻黄杏仁薏苡甘草汤，有白虎加桂枝汤，二妙散，三妙丸，宣痹汤
风湿毒聚证,消风散，苦参汤
风水相搏证,越婢加术汤
风燥伤肺证,桑杏汤
风痰闭神证,定痫丸
风痰入络证,真方白丸子
风痰阻络证,解语丹
风痰瘀痹脉络证,解语丹
风阳内动证,天麻钩藤饮，羚角钩藤汤
风阳上越证,天麻钩藤饮
风阳痰火证,羚角钩藤汤
风火攻目证,绿风羚羊饮
风火热毒证,内疏黄连汤，五味消毒饮
寒滞胃肠证,附子理中丸，良附丸，厚朴温中汤
寒邪凝滞证,三物白散，大黄附子汤，椒挂汤
寒湿入络证,膈下逐瘀汤，阳和汤
寒湿阻络证,乌头汤，薏苡仁汤
寒湿凝滞证,五积散
寒湿困脾证,平胃散，藿香正气散，实脾饮
寒饮伏肺证,发散风寒，温化寒饮
寒饮射肺证,小青龙汤
阳暑证,白虎汤，益元散，人参汤，竹叶石膏汤，桂苓甘露饮，生脉散
阴暑证,正柴胡饮，小柴胡汤，柴胡白虎煎，理阴煎，理中汤，大温中饮，麻桂饮，抑扶煎，五德丸，九气丹
暑热浸淫证,清暑汤
暑伤心肾证,连梅汤
暑湿交阻证,清暑汤
湿困脾胃证,藿香正气散
水气凌心证,苓桂术甘汤
水湿浸渍证,五皮饮，胃苓汤
湿热并重证,王氏连朴饮
湿热壅盛证,疏凿饮子
湿热壅滞证,大承气汤，仙方活命饮
